District,Year,Government,Private,Total,Retention_Rate,Madhyamik_Pass_Percentage,HS_Pass_Percentage,Literacy_Rate,Girls_Percentage,Performance_Index,Calculated_Total,Total_Difference,Other_Institutions
ALIPURDUAR,2018,261848,57300,322643,0.24,71.3,74.0,73.0,50.34,72.72,319148,3495,3495
ALIPURDUAR,2019,252773,64328,320447,0.35,72.5,77.4,73.0,49.99,74.56,317101,3346,3346
ALIPURDUAR,2020,250810,72961,324336,0.35,73.8,81.0,73.0,49.88,76.52,323771,565,565
BANKURA,2018,698436,47690,754032,0.27,78.6,78.3,70.3,48.72,76.82,746126,7906,7906
BANKURA,2019,685926,53910,747701,0.37,79.7,81.4,70.3,48.84,78.5,739836,7865,7865
BANKURA,2020,686327,58615,745170,0.39,80.9,84.6,70.3,48.85,80.26,744942,228,228
BIRBHUM,2018,694933,36492,781229,0.21,78.8,78.5,70.7,49.98,77.06,731425,49804,49804
BIRBHUM,2019,680571,46738,775140,0.3,79.9,81.6,70.7,50.11,78.74,727309,47831,47831
BIRBHUM,2020,702139,53864,781031,0.31,81.1,84.8,70.7,50.23,80.5,756003,25028,25028
COOCH BIHAR,2018,579953,14984,661234,0.23,80.9,80.0,74.8,50.26,79.32,594937,66297,66297
COOCH BIHAR,2019,566907,21874,644072,0.34,82.0,83.0,74.8,50.36,80.96,588781,55291,55291
COOCH BIHAR,2020,584350,25520,663338,0.34,83.3,86.2,74.8,50.18,82.76,609870,53468,53468
DAKSHIN DINAJPUR,2018,304377,33263,348568,0.23,75.2,76.2,72.8,49.74,75.12,337640,10928,10928
DAKSHIN DINAJPUR,2019,298815,33791,343222,0.33,76.4,79.5,72.8,49.62,76.92,332606,10616,10616
DAKSHIN DINAJPUR,2020,307536,40079,348996,0.33,77.6,82.9,72.8,49.64,78.76,347615,1381,1381
DARJEELING,2018,57577,12723,70500,0.25,76.8,77.0,79.9,52.48,77.5,70300,200,200
DARJEELING,2019,59047,7470,66530,0.52,77.9,80.2,79.9,48.29,79.22,66517,13,13
DARJEELING,2020,71537,23291,94860,0.38,79.1,83.5,79.9,48.49,81.02,94828,32,32
HOOGHLY,2018,795698,96181,929789,0.28,88.1,85.8,81.8,50.72,85.92,891879,37910,37910
HOOGHLY,2019,770536,107285,915432,0.39,89.0,88.5,81.8,50.74,87.36,877821,37611,37611
HOOGHLY,2020,785300,114273,916310,0.39,90.1,91.2,81.8,50.68,88.88,899573,16737,16737
HOWRAH,2018,690833,93527,813281,0.27,87.8,85.4,83.3,51.45,85.94,784360,28921,28921
HOWRAH,2019,676580,109291,815279,0.36,88.7,88.1,83.3,51.45,87.38,785871,29408,29408
HOWRAH,2020,690747,162899,863818,0.36,89.9,90.8,83.3,51.15,88.94,853646,10172,10172
JALPAIGURI,2018,422934,81247,510907,0.25,67.1,72.5,73.2,50.9,70.48,504181,6726,6726
JALPAIGURI,2019,401494,87508,495332,0.37,68.3,75.9,73.2,50.9,72.32,489002,6330,6330
JALPAIGURI,2020,397852,101732,501282,0.37,69.6,79.5,73.2,51.24,74.28,499584,1698,1698
JHARGRAM,2018,226271,17956,245415,0.24,85.1,82.9,72.0,48.88,81.6,244227,1188,1188
JHARGRAM,2019,222598,19749,244077,0.34,86.2,85.8,72.0,49.0,83.2,242347,1730,1730
JHARGRAM,2020,220495,21917,244614,0.35,87.5,88.9,72.0,49.01,84.96,242412,2202,2202
KALIMPONG,2018,40564,4208,44772,0.28,94.6,90.8,79.6,49.83,90.08,44772,0,0
KALIMPONG,2019,38052,5375,43457,0.5,95.3,93.2,79.6,49.44,91.32,43427,30,30
KALIMPONG,2020,42322,10522,52957,0.49,96.1,95.5,79.6,49.45,92.56,52844,113,113
KOLKATA,2018,410838,85493,500461,0.31,89.8,87.2,86.3,52.4,88.06,496331,4130,4130
KOLKATA,2019,401914,106268,512641,0.46,90.7,89.9,86.3,52.93,89.5,508182,4459,4459
KOLKATA,2020,409352,198339,611141,0.44,91.8,92.4,86.3,52.41,90.94,607691,3450,3450
MALDAH,2018,795041,235903,1157205,0.19,79.5,78.8,61.7,51.97,75.66,1030944,126261,126261
MALDAH,2019,778128,251234,1154748,0.28,80.6,81.9,61.7,51.82,77.34,1029362,125386,125386
MALDAH,2020,917080,267752,1194939,0.28,81.9,85.1,61.7,51.85,79.14,1184832,10107,10107
MURSHIDABAD,2018,1496076,168836,1842406,0.2,79.8,79.2,66.6,51.8,76.92,1664912,177494,177494
MURSHIDABAD,2019,1474267,201633,1861681,0.29,80.9,82.3,66.6,51.8,78.6,1675900,185781,185781
MURSHIDABAD,2020,1638038,213501,1905241,0.29,82.2,85.6,66.6,51.84,80.44,1851539,53702,53702
NADIA,2018,888046,92698,1000040,0.3,85.8,83.4,75.0,49.64,82.68,980744,19296,19296
NADIA,2019,858471,116356,994858,0.39,86.9,86.2,75.0,49.67,84.24,974827,20031,20031
NADIA,2020,871325,127668,1001073,0.39,88.2,89.3,75.0,49.7,86.0,998993,2080,2080
NORTH 24 PARGANAS,2018,1375093,67492,1501683,0.29,89.0,86.5,84.1,50.69,87.02,1442585,59098,59098
NORTH 24 PARGANAS,2019,1333758,58726,1446218,0.41,90.0,89.1,84.1,50.73,88.46,1392484,53734,53734
NORTH 24 PARGANAS,2020,1378942,160815,1574383,0.39,91.2,91.8,84.1,50.19,90.02,1539757,34626,34626
PASCHIM BARDHAMAN,2018,413857,76649,505374,0.26,74.8,75.9,76.2,50.33,75.52,490506,14868,14868
PASCHIM BARDHAMAN,2019,402318,106392,522369,0.37,75.9,79.1,76.2,49.97,77.24,508710,13659,13659
PASCHIM BARDHAMAN,2020,400164,122214,535414,0.38,77.2,82.5,76.2,49.76,79.12,522378,13036,13036
PASCHIM MEDINIPUR,2018,895021,69456,990102,0.23,89.6,86.9,78.0,49.23,86.2,964477,25625,25625
PASCHIM MEDINIPUR,2019,876157,76633,977675,0.32,90.4,89.4,78.0,49.5,87.52,952790,24885,24885
PASCHIM MEDINIPUR,2020,886895,86797,993224,0.33,91.5,92.1,78.0,49.41,89.04,973692,19532,19532
PURBA BARDHAMAN,2018,808829,53715,892573,0.25,84.0,82.1,76.2,50.48,81.68,862544,30029,30029
PURBA BARDHAMAN,2019,798642,59894,888472,0.34,85.1,85.1,76.2,50.29,83.32,858536,29936,29936
PURBA BARDHAMAN,2020,806301,62939,885254,0.35,86.4,88.3,76.2,50.42,85.12,869240,16014,16014
PURBA MEDINIPUR,2018,910488,117249,1036348,0.24,95.2,91.5,87.0,49.78,92.08,1027737,8611,8611
PURBA MEDINIPUR,2019,895995,127737,1031870,0.34,95.9,94.0,87.0,49.72,93.36,1023732,8138,8138
PURBA MEDINIPUR,2020,899794,146251,1046920,0.33,96.6,96.2,87.0,49.59,94.52,1046045,875,875
PURULIA,2018,635787,52318,717595,0.23,78.4,78.1,64.5,48.69,75.5,688105,29490,29490
PURULIA,2019,630577,50032,707756,0.33,79.5,81.2,64.5,48.81,77.18,680609,27147,27147
PURULIA,2020,634504,58650,718933,0.35,80.7,84.4,64.5,48.71,78.94,693154,25779,25779
SOUTH 24 PARGANAS,2018,1433715,216527,1726017,0.22,89.2,85.9,77.5,51.41,85.54,1650242,75775,75775
SOUTH 24 PARGANAS,2019,1406919,217191,1695127,0.32,90.1,88.6,77.5,51.48,86.98,1624110,71017,71017
SOUTH 24 PARGANAS,2020,1456768,243698,1726454,0.33,91.3,91.4,77.5,51.47,88.58,1700466,25988,25988
UTTAR DINAJPUR,2018,651837,57792,742987,0.17,69.5,73.2,59.1,52.76,68.9,709629,33358,33358
UTTAR DINAJPUR,2019,636506,67304,737680,0.27,70.7,76.6,59.1,53.11,70.74,703810,33870,33870
UTTAR DINAJPUR,2020,672907,83308,756215,0.28,72.0,80.2,59.1,53.12,72.7,756215,0,0
